Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-532,Chrome 77.0.3865.75,,,2019-09-12 21:36:26,2019-09-12 21:39:00,2m - 34.803s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-532,Chrome 77.0.3865.75,"Description:
In Opsporing Arrestanten in the Tab Goederen there is no functionality to copy goederen as in the remaining Goederen modules.

Currently when you add a Goed and save you have an additional button to copy.
This can be found in assistentie- rol/proces - enter for example bekende aangehouden verdachte or aangifte fill in mandatory fields and save.
A tab called Goederen will appear here you can see that you can Copy an entered goederen.
But when you go to Opsporing- arrestanten and tab goederen you cannot Copy the entered goed.

Solution:
Copy in Opsporing Arrestanten in the Tab Goederen the functionality to copy goederen as in the remaining Goederen modules.

Testplan:
Step 1: Go to Opsporing - Arrestanten - tab Goederen
Step 2: Open an existing Arrestenten record.
Step 3: Add in tab Goederen an object (goed) and Save.
Step 4: Go to this Goed and click on the copy button and save.
Step 5: it should be possible to copy this goed muultiple times and save.

Navigation:
Opsporing - Arrestanten - tab Goederen",ACTPOL-532,2019-09-12 21:36:26,2019-09-12 21:39:00,2m - 34.066s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.75,,,2019-09-12 21:36:29,2019-09-12 21:37:17,47.460s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 77.0.3865.75,,,2019-09-12 21:37:17,2019-09-12 21:37:38,21.207s,PASSED
delay(2),Chrome 77.0.3865.75,,,2019-09-12 21:37:38,2019-09-12 21:37:40,2.018s,PASSED
"click(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Arrestanten""))",Chrome 77.0.3865.75,,,2019-09-12 21:37:40,2019-09-12 21:37:47,7.044s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:37:47,2019-09-12 21:37:48,1.010s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 77.0.3865.75,,,2019-09-12 21:37:48,2019-09-12 21:37:49,0.929s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:37:49,2019-09-12 21:37:50,1.006s,PASSED
ArrestantenId = ArrestantenId,Chrome 77.0.3865.75,Remember first set default assistentieid after run the script,,2019-09-12 21:37:50,2019-09-12 21:37:50,0.004s,PASSED
"Assistentiexpath = ""(//*[text()="""" + ArrestantenId + """"]/preceding-sibling::td/a[2])[1]""",Chrome 77.0.3865.75,,,2019-09-12 21:37:50,2019-09-12 21:37:50,0.004s,PASSED
"to = findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/user edit select radio btn"")",Chrome 77.0.3865.75,,,2019-09-12 21:37:50,2019-09-12 21:37:52,2.311s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 77.0.3865.75,,,2019-09-12 21:37:52,2019-09-12 21:37:52,0.023s,PASSED
click(to),Chrome 77.0.3865.75,,,2019-09-12 21:37:52,2019-09-12 21:37:54,1.424s,PASSED
delay(8),Chrome 77.0.3865.75,,,2019-09-12 21:37:54,2019-09-12 21:38:02,8.009s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Registratie""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:02,2019-09-12 21:38:03,1.087s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:03,2019-09-12 21:38:04,1.008s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:04,2019-09-12 21:38:05,1.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Goederen""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:05,2019-09-12 21:38:07,1.892s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:07,2019-09-12 21:38:08,1.013s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Goederen new""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:08,2019-09-12 21:38:09,1.138s,PASSED
delay(4),Chrome 77.0.3865.75,,,2019-09-12 21:38:09,2019-09-12 21:38:13,4.010s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Voorwerpen""), ""aa"")",Chrome 77.0.3865.75,,,2019-09-12 21:38:13,2019-09-12 21:38:14,0.978s,PASSED
delay(2),Chrome 77.0.3865.75,,,2019-09-12 21:38:14,2019-09-12 21:38:16,2.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Voorwerpen lb""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:16,2019-09-12 21:38:17,0.865s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:17,2019-09-12 21:38:18,1.008s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Merk""), Testing)",Chrome 77.0.3865.75,,,2019-09-12 21:38:18,2019-09-12 21:38:20,2.034s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:20,2019-09-12 21:38:21,1.010s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Model""), Testing)",Chrome 77.0.3865.75,,,2019-09-12 21:38:21,2019-09-12 21:38:22,1.347s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:22,2019-09-12 21:38:23,1.005s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Kleur""), Testing)",Chrome 77.0.3865.75,,,2019-09-12 21:38:23,2019-09-12 21:38:25,1.589s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:25,2019-09-12 21:38:26,1.004s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Serie nummer""), number)",Chrome 77.0.3865.75,,,2019-09-12 21:38:26,2019-09-12 21:38:26,0.868s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:26,2019-09-12 21:38:27,1.007s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Aantal""), number)",Chrome 77.0.3865.75,,,2019-09-12 21:38:27,2019-09-12 21:38:28,1.051s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:28,2019-09-12 21:38:29,1.004s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/In bewaring genomen door""), ""aa"")",Chrome 77.0.3865.75,,,2019-09-12 21:38:29,2019-09-12 21:38:30,0.767s,PASSED
delay(2),Chrome 77.0.3865.75,,,2019-09-12 21:38:30,2019-09-12 21:38:32,2.010s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/In bewaring genomen door lb""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:32,2019-09-12 21:38:33,0.738s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:33,2019-09-12 21:38:34,1.006s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Onder supervisie van goed""), ""aa"")",Chrome 77.0.3865.75,,,2019-09-12 21:38:34,2019-09-12 21:38:35,0.817s,PASSED
delay(2),Chrome 77.0.3865.75,,,2019-09-12 21:38:35,2019-09-12 21:38:37,2.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Onder supervisie van goed lb""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:37,2019-09-12 21:38:38,0.785s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:38,2019-09-12 21:38:39,1.012s,PASSED
"selectOptionByLabel(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Opberg plaats dropdown""), dropdown, false)",Chrome 77.0.3865.75,,,2019-09-12 21:38:39,2019-09-12 21:38:40,0.901s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:40,2019-09-12 21:38:41,1.006s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Bijzonderheden goed""), Testing)",Chrome 77.0.3865.75,,,2019-09-12 21:38:41,2019-09-12 21:38:41,0.947s,PASSED
delay(1),Chrome 77.0.3865.75,,,2019-09-12 21:38:41,2019-09-12 21:38:42,1.005s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Goed save""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:42,2019-09-12 21:38:43,0.944s,PASSED
delay(4),Chrome 77.0.3865.75,,,2019-09-12 21:38:43,2019-09-12 21:38:47,4.013s,PASSED
"if (findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Copy goed"") == findTestObject(""Actpol_Scripts/Opsporing/Arrestanten/Copy goed""))",Chrome 77.0.3865.75,,,2019-09-12 21:38:47,2019-09-12 21:38:48,0.525s,PASSED
else,Chrome 77.0.3865.75,,,2019-09-12 21:38:48,2019-09-12 21:38:58,10.008s,PASSED
